verb,tense,input_ipa,predicted_base,predicted_tag,expected_tag_piece,correct
beat,Progressive,#bitɪŋ#,#bit#,PROG,PROG,Right
beat,Past,#bit#,#bit#,PST,PST,Right
beat,Perfect,#bitən#,#bit#,PST.PTCP,PST,Right
beckon,Present 3rd Singular,#bɛkənz#,#bɛkən#,3SG-PRES,3SG-PRES,Right
beckon,Progressive,#bɛkənɪŋ#,#bɛkən#,PROG,PROG,Right
beckon,Past,#bɛkənd#,#bɛkən#,PST/ PST.PTCP,PST,Right
beckon,Perfect,#bɛkənd#,#bɛkən#,PST/ PST.PTCP,PST,Right
become,Present 3rd Singular,#bɪkʌmz#,#bɪkʌm#,3SG-PRES,3SG-PRES,Right
become,Progressive,#bɪkʌmɪŋ#,#bɪkʌm#,PROG,PROG,Right
become,Past,#bɪkeɪm#,#bɪkʌm#,PST,PST,Right
become,Perfect,#bɪkʌm#,#bɪkʌm#,PST.PTCP,PST,Right
beep,Present 3rd Singular,#bips#,#bip#,3SG-PRES,3SG-PRES,Right
beep,Progressive,#bipɪŋ#,#bip#,PROG,PROG,Right
beep,Past,#bipt#,#bip#,PST/ PST.PTCP,PST,Right
beep,Perfect,#bipt#,#bip#,PST/ PST.PTCP,PST,Right
beg,Present 3rd Singular,#bɛgz#,#bɛg#,3SG-PRES,3SG-PRES,Right
beg,Progressive,#bɛgɪŋ#,#bɛg#,PROG,PROG,Right
beg,Past,#bɛgd#,#bɛg#,PST/ PST.PTCP,PST,Right
beg,Perfect,#bɛgd#,#bɛg#,PST/ PST.PTCP,PST,Right
begin,Present 3rd Singular,#bɪgɪnz#,#bɪgɪn#,3SG-PRES,3SG-PRES,Right
begin,Progressive,#bɪgɪnɪŋ#,#bɪgɪn#,PROG,PROG,Right
begin,Past,#bɪgæn#,#bɪgɪn#,PST,PST,Right
begin,Perfect,#bɪgʌn#,#bɪgɪn#,PST.PTCP,PST,Right
believe,Present 3rd Singular,#bɪlivz#,#bɪliv#,3SG-PRES,3SG-PRES,Right
believe,Progressive,#bɪlivɪŋ#,#bɪliv#,PROG,PROG,Right
believe,Past,#bɪlivd#,#bɪliv#,PST/ PST.PTCP,PST,Right
believe,Perfect,#bɪlivd#,#bɪliv#,PST/ PST.PTCP,PST,Right
bend,Present 3rd Singular,#bɛndz#,#bɛnd#,3SG-PRES,3SG-PRES,Right
bend,Progressive,#bɛndɪŋ#,#bɛnd#,PROG,PROG,Right
bend,Past,#bɛnt#,#bɛnd#,PST/ PST.PTCP,PST,Right
bend,Perfect,#bɛnt#,#bɛnd#,PST/ PST.PTCP,PST,Right
benefit,Present 3rd Singular,#bɛnəfɪts#,#bɛnəfɪt#,3SG-PRES,3SG-PRES,Right
benefit,Progressive,#bɛnəfɪtɪŋ#,#bɛnəfɪt#,PROG,PROG,Right
benefit,Past,#bɛnəfɪtɪd#,#bɛnəfɪt#,PST/ PST.PTCP,PST,Right
benefit,Perfect,#bɛnəfɪtɪd#,#bɛnəfɪt#,PST/ PST.PTCP,PST,Right
bet,Present 3rd Singular,#bɛts#,#bɛt#,3SG-PRES,3SG-PRES,Right
bet,Progressive,#bɛtɪŋ#,#bɛt#,PROG,PROG,Right
bet,Past,#bɛt#,#bɛt#,PST/ PST.PTCP,PST,Right
bet,Perfect,#bɛt#,#bɛt#,PST/ PST.PTCP,PST,Right
beware,Present 3rd Singular,#bɪwɛɹz#,#bɪwɛɹ#,3SG-PRES,3SG-PRES,Right
beware,Progressive,#bɪwɛɹɪŋ#,#bɪwɛɹ#,PROG,PROG,Right
beware,Past,#bɪwɛɹd#,#bɪwɛɹ#,PST/ PST.PTCP,PST,Right
beware,Perfect,#bɪwɛɹd#,#bɪwɛɹ#,PST/ PST.PTCP,PST,Right
bewitch,Present 3rd Singular,#bɪwɪtʃɪz#,#bɪwɪtʃ#,3SG-PRES,3SG-PRES,Right
bewitch,Progressive,#bɪwɪtʃɪŋ#,#bɪwɪtʃ#,PROG,PROG,Right
bewitch,Past,#bɪwɪtʃt#,#bɪwɪtʃ#,PST/ PST.PTCP,PST,Right
bewitch,Perfect,#bɪwɪtʃt#,#bɪwɪtʃ#,PST/ PST.PTCP,PST,Right
bind,Present 3rd Singular,#baɪndz#,#baɪnd#,3SG-PRES,3SG-PRES,Right
bind,Progressive,#baɪndɪŋ#,#baɪnd#,PROG,PROG,Right
bind,Past,#baʊnd#,#baɪnd#,PST/ PST.PTCP,PST,Right
bind,Perfect,#baʊnd#,#baɪnd#,PST/ PST.PTCP,PST,Right
bite,Present 3rd Singular,#baɪts#,#baɪt#,3SG-PRES,3SG-PRES,Right
bite,Progressive,#baɪtɪŋ#,#baɪt#,PROG,PROG,Right
bite,Past,#bɪt#,#bɪ#,PST/ PST.PTCP,PST,Wrong
bite,Perfect,#bɪtən#,#bɪtən#,BARE,PST,Wrong
bleed,Present 3rd Singular,#blidz#,#blid#,3SG-PRES,3SG-PRES,Right
bleed,Progressive,#blidɪŋ#,#blid#,PROG,PROG,Right
bleed,Past,#blɛd#,#blid#,PST/ PST.PTCP,PST,Right
bleed,Perfect,#blɛd#,#blid#,PST/ PST.PTCP,PST,Right
bless,Present 3rd Singular,#blɛsɪz#,#blɛs#,3SG-PRES,3SG-PRES,Right
bless,Progressive,#blɛsɪŋ#,#blɛs#,PROG,PROG,Right
bless,Past,#blɛst#,#blɛs#,PST/ PST.PTCP,PST,Right
bless,Perfect,#blɛst#,#blɛs#,PST/ PST.PTCP,PST,Right
blink,Present 3rd Singular,#blɪŋks#,#blɪŋk#,3SG-PRES,3SG-PRES,Right
blink,Progressive,#blɪŋkɪŋ#,#blɪŋk#,PROG,PROG,Right
blink,Past,#blɪŋkt#,#blɪŋk#,PST/ PST.PTCP,PST,Right
blink,Perfect,#blɪŋkt#,#blɪŋk#,PST/ PST.PTCP,PST,Right
blister,Present 3rd Singular,#blɪstəɹz#,#blɪstəɹ#,3SG-PRES,3SG-PRES,Right
blister,Progressive,#blɪstəɹɪŋ#,#blɪstəɹ#,PROG,PROG,Right
blister,Past,#blɪstəɹd#,#blɪstəɹ#,PST/ PST.PTCP,PST,Right
blister,Perfect,#blɪstəɹd#,#blɪstəɹ#,PST/ PST.PTCP,PST,Right
blow,Present 3rd Singular,#bloʊz#,#bloʊ#,3SG-PRES,3SG-PRES,Right
blow,Progressive,#bloʊɪŋ#,#bloʊ#,PROG,PROG,Right
blow,Past,#blu#,#bloʊ#,PST,PST,Right
blow,Perfect,#bloʊn#,#bloʊ#,PST.PTCP,PST,Right
blurt,Present 3rd Singular,#blɝts#,#blɝt#,3SG-PRES,3SG-PRES,Right
blurt,Progressive,#blɝtɪŋ#,#blɝt#,PROG,PROG,Right
blurt,Past,#blɝtɪd#,#blɝt#,PST/ PST.PTCP,PST,Right
blurt,Perfect,#blɝtɪd#,#blɝt#,PST/ PST.PTCP,PST,Right
boast,Present 3rd Singular,#boʊsts#,#boʊst#,3SG-PRES,3SG-PRES,Right
boast,Progressive,#boʊstɪŋ#,#boʊst#,PROG,PROG,Right
boast,Past,#boʊstɪd#,#boʊst#,PST/ PST.PTCP,PST,Right
boast,Perfect,#boʊstɪd#,#boʊst#,PST/ PST.PTCP,PST,Right
boil,Present 3rd Singular,#bɔɪlz#,#bɔɪl#,3SG-PRES,3SG-PRES,Right
boil,Progressive,#bɔɪlɪŋ#,#bɔɪl#,PROG,PROG,Right
boil,Past,#bɔɪld#,#bɔɪl#,PST/ PST.PTCP,PST,Right
boil,Perfect,#bɔɪld#,#bɔɪl#,PST/ PST.PTCP,PST,Right
bolster,Present 3rd Singular,#boʊlstəɹz#,#boʊlstəɹ#,3SG-PRES,3SG-PRES,Right
bolster,Progressive,#boʊlstəɹɪŋ#,#boʊlstəɹ#,PROG,PROG,Right
bolster,Past,#boʊlstəɹd#,#boʊlstəɹ#,PST/ PST.PTCP,PST,Right
bolster,Perfect,#boʊlstəɹd#,#boʊlstəɹ#,PST/ PST.PTCP,PST,Right
bounce,Present 3rd Singular,#baʊnsɪz#,#baʊns#,3SG-PRES,3SG-PRES,Right
bounce,Progressive,#baʊnsɪŋ#,#baʊns#,PROG,PROG,Right
bounce,Past,#baʊnst#,#baʊns#,PST/ PST.PTCP,PST,Right
bounce,Perfect,#baʊnst#,#baʊns#,PST/ PST.PTCP,PST,Right
bow,Present 3rd Singular,#baʊz#,#baʊ#,3SG-PRES,3SG-PRES,Right
bow,Progressive,#baʊɪŋ#,#baʊ#,PROG,PROG,Right
bow,Past,#baʊd#,#baʊ#,PST/ PST.PTCP,PST,Right
bow,Perfect,#baʊd#,#baʊ#,PST/ PST.PTCP,PST,Right
brace,Present 3rd Singular,#breɪsɪz#,#breɪs#,3SG-PRES,3SG-PRES,Right
brace,Progressive,#breɪsɪŋ#,#breɪs#,PROG,PROG,Right
brace,Past,#breɪst#,#breɪs#,PST/ PST.PTCP,PST,Right
brace,Perfect,#breɪst#,#breɪs#,PST/ PST.PTCP,PST,Right
break,Present 3rd Singular,#bɹeɪks#,#bɹeɪk#,3SG-PRES,3SG-PRES,Right
break,Progressive,#bɹeɪkɪŋ#,#bɹeɪk#,PROG,PROG,Right
break,Past,#bɹoʊk#,#bɹeɪk#,PST,PST,Right
break,Perfect,#bɹoʊkən#,#bɹeɪk#,PST.PTCP,PST,Right
bring,Present 3rd Singular,#bɹɪŋz#,#bɹɪŋ#,3SG-PRES,3SG-PRES,Right
bring,Progressive,#bɹɪŋɪŋ#,#bɹɪŋ#,PROG,PROG,Right
bring,Past,#bɹɔt#,#bɹɪŋ#,PST.PTCP,PST,Right
bring,Perfect,#bɹɔt#,#bɹɪŋ#,PST.PTCP,PST,Right
broadcast,Present 3rd Singular,#bɹɔdkæsts#,#bɹɔdkæst#,3SG-PRES,3SG-PRES,Right
broadcast,Progressive,#bɹɔdkæstɪŋ#,#bɹɔdkæst#,PROG,PROG,Right
broadcast,Past,#bɹɔdkæst#,#bɹɔdkæs#,PST/ PST.PTCP,PST,Wrong
broadcast,Perfect,#bɹɔdkæst#,#bɹɔdkæs#,PST/ PST.PTCP,PST,Wrong
bruise,Present 3rd Singular,#bɹuzɪz#,#bɹuz#,3SG-PRES,3SG-PRES,Right
bruise,Progressive,#bɹuzɪŋ#,#bɹuz#,PROG,PROG,Right
bruise,Past,#bɹuzd#,#bɹuz#,PST/ PST.PTCP,PST,Right
bruise,Perfect,#bɹuzd#,#bɹuz#,PST/ PST.PTCP,PST,Right
brush,Present 3rd Singular,#bɹʌʃɪz#,#bɹʌʃ#,3SG-PRES,3SG-PRES,Right
brush,Progressive,#bɹʌʃɪŋ#,#bɹʌʃ#,PROG,PROG,Right
brush,Past,#bɹʌʃt#,#bɹʌʃ#,PST/ PST.PTCP,PST,Right
brush,Perfect,#bɹʌʃt#,#bɹʌʃ#,PST/ PST.PTCP,PST,Right
build,Present 3rd Singular,#bɪldz#,#bɪld#,3SG-PRES,3SG-PRES,Right
build,Progressive,#bɪldɪŋ#,#bɪld#,PROG,PROG,Right
build,Past,#bɪlt#,#bɪld#,PST/ PST.PTCP,PST,Right
build,Perfect,#bɪlt#,#bɪld#,PST/ PST.PTCP,PST,Right
bundle,Present 3rd Singular,#bʌndlz#,#bʌndl#,3SG-PRES,3SG-PRES,Right
bundle,Progressive,#bʌndlɪŋ#,#bʌndl#,PROG,PROG,Right
bundle,Past,#bʌndld#,#bʌndl#,PST/ PST.PTCP,PST,Right
bundle,Perfect,#bʌndld#,#bʌndl#,PST/ PST.PTCP,PST,Right
burden,Present 3rd Singular,#bɝdənz#,#bɝdən#,3SG-PRES,3SG-PRES,Right
burden,Progressive,#bɝdənɪŋ#,#bɝdən#,PROG,PROG,Right
burden,Past,#bɝdənd#,#bɝdən#,PST/ PST.PTCP,PST,Right
burden,Perfect,#bɝdənd#,#bɝdən#,PST/ PST.PTCP,PST,Right
burst,Present 3rd Singular,#bɝsts#,#bɝst#,3SG-PRES,3SG-PRES,Right
burst,Progressive,#bɝstɪŋ#,#bɝst#,PROG,PROG,Right
burst,Past,#bɝst#,#bɝst#,PST/ PST.PTCP,PST,Right
burst,Perfect,#bɝst#,#bɝst#,PST/ PST.PTCP,PST,Right
buy,Present 3rd Singular,#baɪz#,#ba#,3SG-PRES,3SG-PRES,Wrong
buy,Progressive,#baɪɪŋ#,#baɪ#,PROG,PROG,Right
buy,Past,#bɔt#,#baɪ#,PST/ PST.PTCP,PST,Right
buy,Perfect,#bɔt#,#baɪ#,PST/ PST.PTCP,PST,Right
calculate,Present 3rd Singular,#kælkjəleɪts#,#kælkjəleɪt#,3SG-PRES,3SG-PRES,Right
calculate,Progressive,#kælkjəleɪtɪŋ#,#kælkjəleɪt#,PROG,PROG,Right
calculate,Past,#kælkjəleɪtɪd#,#kælkjəleɪt#,PST/ PST.PTCP,PST,Right
calculate,Perfect,#kælkjəleɪtɪd#,#kælkjəleɪt#,PST/ PST.PTCP,PST,Right
call,Present 3rd Singular,#kɔlz#,#kɔl#,3SG-PRES,3SG-PRES,Right
call,Progressive,#kɔlɪŋ#,#kɔl#,PROG,PROG,Right
call,Past,#kɔld#,#kɔl#,PST/ PST.PTCP,PST,Right
call,Perfect,#kɔld#,#kɔl#,PST/ PST.PTCP,PST,Right
camp,Present 3rd Singular,#kæmps#,#kæmp#,3SG-PRES,3SG-PRES,Right
camp,Progressive,#kæmpɪŋ#,#kæmp#,PROG,PROG,Right
camp,Past,#kæmpt#,#kæmp#,PST/ PST.PTCP,PST,Right
camp,Perfect,#kæmpt#,#kæmp#,PST/ PST.PTCP,PST,Right
can,Present 3rd Singular,#kæn#,#kæn#,BARE,3SG-PRES,Wrong
can,Progressive,No Progressive,,,PROG,Wrong
can,Past,#kʊd#,#kʊ#,PST/ PST.PTCP,PST,Wrong
can,Perfect,No Perfect Participle,,,PST,Wrong
capture,Present 3rd Singular,#kæptʃəɹz#,#kæptʃəɹ#,3SG-PRES,3SG-PRES,Right
capture,Progressive,#kæptʃəɹɪŋ#,#kæptʃəɹ#,PROG,PROG,Right
capture,Past,#kæptʃəɹd#,#kæptʃəɹ#,PST/ PST.PTCP,PST,Right
capture,Perfect,#kæptʃəɹd#,#kæptʃəɹ#,PST/ PST.PTCP,PST,Right
carve,Present 3rd Singular,#kɑɹvz#,#kɑɹv#,3SG-PRES,3SG-PRES,Right
carve,Progressive,#kɑɹvɪŋ#,#kɑɹv#,PROG,PROG,Right
carve,Past,#kɑɹvd#,#kɑɹv#,PST/ PST.PTCP,PST,Right
carve,Perfect,#kɑɹvd#,#kɑɹv#,PST/ PST.PTCP,PST,Right
catch,Present 3rd Singular,#kæʧɪz#,#kæʧ#,3SG-PRES,3SG-PRES,Right
catch,Progressive,#kæʧɪŋ#,#kæʧ#,PROG,PROG,Right
catch,Past,#kɔt#,#kæʧ#,PST/ PST.PTCP,PST,Right
catch,Perfect,#kɔt#,#kæʧ#,PST/ PST.PTCP,PST,Right
celebrate,Present 3rd Singular,#sɛləbreɪts#,#sɛləbreɪt#,3SG-PRES,3SG-PRES,Right
celebrate,Progressive,#sɛləbreɪtɪŋ#,#sɛləbreɪt#,PROG,PROG,Right
celebrate,Past,#sɛləbreɪtɪd#,#sɛləbreɪt#,PST/ PST.PTCP,PST,Right
celebrate,Perfect,#sɛləbreɪtɪd#,#sɛləbreɪt#,PST/ PST.PTCP,PST,Right
challenge,Present 3rd Singular,#tʃælɪndʒɪz#,#tʃælɪndʒ#,3SG-PRES,3SG-PRES,Right
challenge,Progressive,#tʃælɪndʒɪŋ#,#tʃælɪndʒ#,PROG,PROG,Right
challenge,Past,#tʃælɪndʒd#,#tʃælɪndʒ#,PST/ PST.PTCP,PST,Right
challenge,Perfect,#tʃælɪndʒd#,#tʃælɪndʒ#,PST/ PST.PTCP,PST,Right
change,Present 3rd Singular,#tʃeɪndʒɪz#,#tʃeɪndʒ#,3SG-PRES,3SG-PRES,Right
change,Progressive,#tʃeɪndʒɪŋ#,#tʃeɪndʒ#,PROG,PROG,Right
change,Past,#tʃeɪndʒd#,#tʃeɪndʒ#,PST/ PST.PTCP,PST,Right
change,Perfect,#tʃeɪndʒd#,#tʃeɪndʒ#,PST/ PST.PTCP,PST,Right
charge,Present 3rd Singular,#tʃɑɹdʒɪz#,#tʃɑɹdʒ#,3SG-PRES,3SG-PRES,Right
charge,Progressive,#tʃɑɹdʒɪŋ#,#tʃɑɹdʒ#,PROG,PROG,Right
charge,Past,#tʃɑɹdʒd#,#tʃɑɹdʒ#,PST/ PST.PTCP,PST,Right
charge,Perfect,#tʃɑɹdʒd#,#tʃɑɹdʒ#,PST/ PST.PTCP,PST,Right
cheer,Present 3rd Singular,#tʃɪɹz#,#tʃɪɹ#,3SG-PRES,3SG-PRES,Right
cheer,Progressive,#tʃɪɹɪŋ#,#tʃɪɹ#,PROG,PROG,Right
cheer,Past,#tʃɪɹd#,#tʃɪɹ#,PST/ PST.PTCP,PST,Right
cheer,Perfect,#tʃɪɹd#,#tʃɪɹ#,PST/ PST.PTCP,PST,Right
chew,Present 3rd Singular,#tʃuz#,#tʃu#,3SG-PRES,3SG-PRES,Right
chew,Progressive,#tʃuɪŋ#,#tʃu#,PROG,PROG,Right
